               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024849,            0.013884,                   0,             0.72777,             0.82716,             0.81229,             0.60279,            0.031613,            0.011142,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02343,            0.012795,                   0,             0.69672,             0.82716,             0.81799,             0.58231,            0.031427,            0.011137,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.023654,            0.012333,                   0,             0.77024,             0.78639,             0.78718,             0.59869,            0.031532,            0.011042,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024004,            0.013058,                   0,             0.74779,             0.75309,             0.77718,             0.59745,            0.032306,            0.011709,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.022439,            0.012183,                   0,             0.71889,             0.77778,              0.7876,             0.58441,            0.031173,            0.011761,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022491,            0.012385,                   0,             0.72161,             0.77778,             0.79133,             0.59348,            0.030593,            0.011395,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.02235,              0.0119,                   0,             0.71399,             0.77778,              0.7787,             0.58787,            0.031085,            0.011278,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.022134,             0.01154,                   0,             0.66378,             0.76543,             0.76251,             0.56814,            0.031368,             0.01183,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021924,            0.011675,                   0,             0.69473,             0.75863,             0.76204,             0.57557,            0.031443,             0.01175,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022004,            0.012321,                   0,             0.70989,             0.79012,             0.77279,             0.58968,            0.031724,            0.011453,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021874,            0.011973,                   0,             0.70177,             0.76543,             0.77706,             0.60377,            0.031511,            0.011564,                   0,            0.000496,            0.000496,            0.000496
