               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069571,            0.024147,             0.03343,             0.38039,             0.58738,             0.45815,             0.28237,            0.038857,            0.009705,            0.017059,            0.070124,           0.0033196,           0.0033196
                   1,            0.046804,            0.015735,            0.014375,             0.54128,             0.71269,             0.64686,             0.40416,            0.033714,           0.0082444,           0.0090596,            0.039465,           0.0059943,           0.0059943
                   2,            0.041692,            0.013698,           0.0074773,             0.71138,             0.74302,             0.75073,             0.47008,            0.030415,           0.0079224,           0.0040801,           0.0081467,            0.008009,            0.008009
                   3,            0.036096,            0.012832,           0.0056845,             0.81787,             0.81467,              0.8332,             0.59079,            0.026488,           0.0076761,           0.0018541,             0.00703,             0.00703,             0.00703
                   4,            0.032609,            0.011902,           0.0048598,             0.78167,             0.74695,             0.76606,             0.56837,            0.026562,            0.008241,           0.0027771,             0.00703,             0.00703,             0.00703
                   5,            0.030159,            0.011388,           0.0043136,             0.83069,             0.77903,             0.82634,             0.60429,            0.026004,           0.0072152,           0.0020568,             0.00604,             0.00604,             0.00604
                   6,            0.026912,            0.010638,           0.0030083,             0.83107,              0.8077,             0.84309,             0.64801,            0.022551,           0.0067456,          0.00095108,             0.00505,             0.00505,             0.00505
                   7,            0.024556,            0.010438,           0.0025648,             0.78785,             0.86697,              0.8388,             0.65779,            0.021116,           0.0063735,           0.0010289,             0.00406,             0.00406,             0.00406
                   8,            0.022301,           0.0096707,           0.0020316,             0.84858,             0.86425,             0.87679,             0.69166,            0.021161,           0.0062087,          0.00042441,             0.00307,             0.00307,             0.00307
                   9,            0.020778,           0.0091951,           0.0016534,             0.84361,             0.88414,             0.87218,             0.69374,            0.020491,           0.0061774,          0.00035617,             0.00208,             0.00208,             0.00208
