               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11471,            0.031959,                   0,           0.0070104,             0.22222,           0.0064556,           0.0012829,            0.099639,            0.027355,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.094048,            0.030202,                   0,               0.144,            0.074074,            0.077631,            0.021804,            0.086064,            0.024768,                   0,            0.071486,           0.0024862,           0.0024862
                   2,            0.081772,            0.029621,                   0,             0.37735,              0.3517,             0.23385,             0.11231,            0.075692,             0.02281,                   0,            0.055839,           0.0028388,           0.0028388
                   3,             0.07214,            0.026597,                   0,             0.53496,             0.39506,             0.36122,             0.13307,             0.07147,            0.021219,                   0,            0.039558,           0.0025578,           0.0025578
                   4,            0.065568,            0.026618,                   0,             0.59029,             0.46252,             0.41415,             0.23196,            0.061943,            0.021058,                   0,            0.022643,           0.0016432,           0.0016432
