               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028714,            0.013943,                   0,              0.6434,             0.80191,             0.72901,             0.54811,            0.034097,            0.012313,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027911,            0.013044,                   0,             0.66204,             0.75309,             0.74813,             0.53684,            0.035161,            0.011633,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027614,            0.012918,                   0,             0.67847,             0.76543,             0.74545,             0.53313,            0.034448,            0.011659,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028653,            0.013155,                   0,             0.69368,             0.82716,             0.75708,             0.54776,            0.033888,            0.011839,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026561,            0.012623,                   0,             0.64818,             0.87654,             0.76897,             0.55232,            0.032033,            0.011612,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026662,            0.012732,                   0,             0.70988,             0.77778,             0.78047,             0.56844,             0.03182,            0.011588,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026001,            0.012431,                   0,             0.71375,              0.7037,             0.75531,             0.54528,            0.032161,            0.011786,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025989,            0.011969,                   0,             0.74281,             0.78447,             0.77664,             0.56592,             0.03285,            0.011367,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025808,            0.011503,                   0,             0.68994,             0.79672,             0.75652,             0.54864,            0.033605,            0.011822,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02571,            0.012496,                   0,             0.64664,             0.74074,             0.74362,             0.53434,            0.034761,            0.012508,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025446,            0.011949,                   0,             0.81922,             0.65432,             0.76284,             0.55283,            0.035108,            0.012048,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025593,            0.012233,                   0,             0.68451,             0.71605,             0.74667,             0.53007,            0.035002,            0.012297,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025236,            0.012911,                   0,             0.64239,             0.82716,             0.75264,             0.54564,              0.0339,            0.012156,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023074,            0.011513,                   0,             0.62461,             0.80114,             0.74297,             0.55825,             0.03384,            0.012085,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023069,            0.012295,                   0,             0.72084,             0.76509,             0.74747,             0.57688,            0.033349,            0.012405,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024861,            0.012035,                   0,             0.70134,             0.76543,             0.71907,             0.56202,            0.033422,            0.013307,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024539,            0.011692,                   0,             0.73759,             0.74074,             0.73473,             0.55886,            0.032628,            0.013457,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022288,            0.011422,                   0,             0.72966,             0.79973,             0.75922,             0.57922,             0.03465,            0.012376,                   0,            0.004555,            0.004555,            0.004555
