               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10139,            0.029216,                   0,             0.23619,              0.2514,             0.19312,            0.062295,            0.062141,            0.020757,                   0,            0.070769,           0.0032479,           0.0032479
                   1,            0.069326,             0.02452,                   0,             0.35036,             0.34078,             0.31528,             0.15857,            0.056082,            0.015941,                   0,            0.039466,           0.0052781,           0.0052781
                   2,             0.06076,            0.022125,                   0,              0.6527,             0.44134,             0.54973,             0.25536,            0.048998,            0.012489,                   0,           0.0068431,           0.0059884,           0.0059884
                   3,            0.052941,            0.021257,                   0,             0.76622,             0.73242,             0.70836,             0.41447,            0.040456,            0.011047,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.045886,            0.017601,                   0,             0.75185,             0.68715,             0.72685,             0.55193,            0.034598,            0.010042,                   0,             0.00406,             0.00406,             0.00406
