               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069571,            0.024147,             0.03343,             0.38039,             0.58738,             0.45815,             0.28237,            0.038857,            0.009705,            0.017059,            0.070124,           0.0033196,           0.0033196
                   1,            0.046462,            0.015816,            0.014658,             0.74548,             0.73755,             0.77036,              0.5073,            0.032312,           0.0084794,           0.0042753,            0.038807,           0.0053356,           0.0053356
                   2,            0.040011,            0.013802,           0.0072462,             0.80904,             0.75696,              0.7695,             0.52352,            0.030264,             0.00828,           0.0034661,           0.0061694,           0.0060317,           0.0060317
                   3,            0.033165,            0.012542,           0.0048172,             0.83935,               0.854,             0.84075,             0.61101,            0.025386,           0.0068324,           0.0011603,             0.00406,             0.00406,             0.00406
                   4,             0.02984,            0.011436,           0.0044245,             0.82791,             0.83261,             0.82167,             0.60684,            0.025001,           0.0073916,           0.0023893,             0.00406,             0.00406,             0.00406
