               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092045,            0.028002,            0.027235,             0.26022,             0.41933,             0.23306,            0.091148,            0.052326,            0.016513,            0.019528,            0.070476,           0.0032804,           0.0032804
                   1,            0.061833,            0.022836,            0.020696,             0.47497,             0.50418,             0.42734,             0.22162,            0.044457,            0.010604,            0.013037,            0.039167,           0.0053042,           0.0053042
                   2,            0.054999,            0.018472,           0.0087378,             0.75041,             0.56353,             0.69584,             0.40648,            0.043275,           0.0089477,           0.0026194,           0.0065371,            0.006008,            0.006008
                   3,            0.048125,             0.01698,           0.0045907,             0.73524,             0.77238,             0.77912,             0.47277,            0.033914,             0.00823,           0.0017891,             0.00406,             0.00406,             0.00406
                   4,            0.043349,            0.015396,           0.0035645,             0.84281,              0.8476,             0.83134,             0.55853,            0.028161,           0.0080109,           0.0010041,             0.00406,             0.00406,             0.00406
